Fund ID,Department ID,Program ID,Account ID,Fund Name,Department,Description,2013 Actual,2014 Actual,2015 Actual
1001,42540,101,530660,General Fund,FIRE ‐ Training and Public Ed.,General Contractuals,"-1,033",‐,‐
1001,42540,101,540689,General Fund,FIRE ‐ Training and Public Ed.,Cable Television,‐,‐,-373
1001,42540,101,550601,General Fund,FIRE ‐ Training and Public Ed.,Printing,‐,‐,-175
1001,42540,101,550602,General Fund,FIRE ‐ Training and Public Ed.,Membership Dues,"-1,222","-1,152","-1,363"
1001,42540,101,550605,General Fund,FIRE ‐ Training and Public Ed.,Travel & Mileage Reimbursement,-187,‐,‐
1001,42540,101,550673,General Fund,FIRE ‐ Training and Public Ed.,Repairs,-515,"-1,316","-3,165"
1001,42540,101,560630,General Fund,FIRE ‐ Training and Public Ed.,Small Tools,‐,‐,‐
1001,42540,101,560631,General Fund,FIRE ‐ Training and Public Ed.,Operational Supplies,"-1,909","-7,880","-6,996"
1001,42540,101,560638,General Fund,FIRE ‐ Training and Public Ed.,Special Events,"-3,064","-3,268","-4,832"
1001,42540,101,560650,General Fund,FIRE ‐ Training and Public Ed.,Volunteer Recog Recruitment,-550,‐,‐
1001,44550,101,510501,General Fund,HEALTH ‐ Health Services,Regular Salaries,"-244,139","-248,610","-144,061"
1001,44550,612,510501,General Fund,HEALTH ‐ Health Services,Regular Salaries,"-210,641","-213,185","-217,306"
1001,44550,613,510501,General Fund,HEALTH ‐ Health Services,Regular Salaries,"-114,245","-48,520",‐
1001,44550,615,510501,General Fund,HEALTH ‐ Health Services,Regular Salaries,"-42,987","-44,261","-45,181"
1001,44550,612,510503,General Fund,HEALTH ‐ Health Services,Overtime,-63,"-1,863","-1,983"
1001,44550,615,510503,General Fund,HEALTH ‐ Health Services,Overtime,-866,-217,-703
1001,44550,101,510999,General Fund,HEALTH ‐ Health Services,Grant Admin. ‐ Salaries,"69,820","107,282","103,674"
1001,44550,612,510999,General Fund,HEALTH ‐ Health Services,Grant Admin. ‐ Salaries,"51,817","47,953","21,886"
1001,44550,613,510999,General Fund,HEALTH ‐ Health Services,Grant Admin. ‐ Salaries,"69,238","22,427",‐
1001,44550,612,510506,General Fund,HEALTH ‐ Health Services,"Equip Allow (Auto,Phone,Tools)",‐,-370,-505
1001,44550,613,510519,General Fund,HEALTH ‐ Health Services,Vacation Time Payout,-250,"-6,857",‐
1001,44550,613,520515,General Fund,HEALTH ‐ Health Services,Health Insurance Opt Out,"-2,407","-2,079",‐
1001,44550,101,520520,General Fund,HEALTH ‐ Health Services,Life Insurance Expense,-167,-193,-134
1001,44550,612,520520,General Fund,HEALTH ‐ Health Services,Life Insurance Expense,-125,-125,-151
1001,44550,613,520520,General Fund,HEALTH ‐ Health Services,Life Insurance Expense,-83,-64,‐
1001,44550,615,520520,General Fund,HEALTH ‐ Health Services,Life Insurance Expense,-42,-42,-51
1001,44550,101,520521,General Fund,HEALTH ‐ Health Services,Health Insurance Expense,"-50,758","-52,398","-44,308"
1001,44550,612,520521,General Fund,HEALTH ‐ Health Services,Health Insurance Expense,"-52,659","-52,650","-59,921"
1001,44550,613,520521,General Fund,HEALTH ‐ Health Services,Health Insurance Expense,"-13,950","-1,207",‐
1001,44550,615,520521,General Fund,HEALTH ‐ Health Services,Health Insurance Expense,"-16,453","-16,976","-19,346"
1001,44550,101,520522,General Fund,HEALTH ‐ Health Services,Social Security Expense,"-11,467","-14,337","-9,289"
1001,44550,612,520522,General Fund,HEALTH ‐ Health Services,Social Security Expense,"-12,496","-12,761","-12,711"
1001,44550,613,520522,General Fund,HEALTH ‐ Health Services,Social Security Expense,"-7,020","-3,242",‐
1001,44550,615,520522,General Fund,HEALTH ‐ Health Services,Social Security Expense,"-2,519","-2,537","-2,632"
1001,44550,101,520523,General Fund,HEALTH ‐ Health Services,Medicare Expense,"-3,295","-3,353","-2,173"
1001,44550,612,520523,General Fund,HEALTH ‐ Health Services,Medicare Expense,"-2,922","-2,984","-2,973"
1001,44550,613,520523,General Fund,HEALTH ‐ Health Services,Medicare Expense,"-1,642",-758,‐
1001,44550,615,520523,General Fund,HEALTH ‐ Health Services,Medicare Expense,-589,-593,-616
1001,44550,101,520527,General Fund,HEALTH ‐ Health Services,IMRF Contributions,"-31,261","-33,323","-18,937"
1001,44550,612,520527,General Fund,HEALTH ‐ Health Services,IMRF Contributions,"-30,426","-32,657","-31,073"
1001,44550,613,520527,General Fund,HEALTH ‐ Health Services,IMRF Contributions,"-16,881","-8,009",‐
1001,44550,615,520527,General Fund,HEALTH ‐ Health Services,IMRF Contributions,"-6,332","-6,707","-6,502"
1001,44550,101,520999,General Fund,HEALTH ‐ Health Services,Grant Admin. ‐ Benefits,‐,"5,563","16,626"
1001,44550,101,530650,General Fund,HEALTH ‐ Health Services,Conferences Training,20,"-1,107",‐
1001,44550,612,530650,General Fund,HEALTH ‐ Health Services,Conferences Training,-899,-15,-888
1001,44550,101,530658,General Fund,HEALTH ‐ Health Services,Temporary Services,‐,-935,‐
1001,44550,101,530667,General Fund,HEALTH ‐ Health Services,External Support,‐,‐,‐
1001,44550,612,530667,General Fund,HEALTH ‐ Health Services,External Support,‐,‐,"-6,212"
1001,44550,613,530667,General Fund,HEALTH ‐ Health Services,External Support,‐,"-21,501","-28,213"
1001,44550,615,530667,General Fund,HEALTH ‐ Health Services,External Support,"-100,000","-100,165","-91,667"
1001,44550,101,540690,General Fund,HEALTH ‐ Health Services,Telecommunication Charges,‐,‐,‐
1001,44550,612,550606,General Fund,HEALTH ‐ Health Services,Printing,-154,‐,‐
1001,44550,612,550601,General Fund,HEALTH ‐ Health Services,Printing,‐,-68,-56
1001,44550,615,550601,General Fund,HEALTH ‐ Health Services,Printing,-149,‐,-141
1001,44550,101,550602,General Fund,HEALTH ‐ Health Services,Membership Dues,-431,-200,-520
1001,44550,101,550603,General Fund,HEALTH ‐ Health Services,Postage,-721,"-1,326",-575
1001,44550,133,550603,General Fund,HEALTH ‐ Health Services,Postage,‐,‐,-19
1001,44550,615,550603,General Fund,HEALTH ‐ Health Services,Postage,"-4,483","-3,279","-2,750"
1001,44550,101,550605,General Fund,HEALTH ‐ Health Services,Travel & Mileage Reimbursement,-14,-109,‐
1001,44550,612,550605,General Fund,HEALTH ‐ Health Services,Travel & Mileage Reimbursement,-210,‐,-110
1001,44550,101,560620,General Fund,HEALTH ‐ Health Services,Office Supplies,"-1,147","-1,495",-963
1001,44550,615,560625,General Fund,HEALTH ‐ Health Services,Clothing,-176,-461,-365
1001,44550,612,560626,General Fund,HEALTH ‐ Health Services,Medical Supplies,-3,-16,‐
1001,44550,101,560631,General Fund,HEALTH ‐ Health Services,Operational Supplies,‐,‐,-690
1001,44550,612,560631,General Fund,HEALTH ‐ Health Services,Operational Supplies,-606,-438,-494
1001,44550,613,560631,General Fund,HEALTH ‐ Health Services,Operational Supplies,"-1,961","-1,687","-1,006"
1001,44550,615,560631,General Fund,HEALTH ‐ Health Services,Operational Supplies,-622,-542,-544
1001,44550,101,560670,General Fund,HEALTH ‐ Health Services,Equipment Rental,"-1,068",-168,‐
1001,41040,101,510501,General Fund,Information Technology,Regular Salaries,"-220,078","-287,675","-336,655"
1001,41040,141,510501,General Fund,Information Technology,Regular Salaries,"-131,062","-113,210","-110,470"
1001,41040,142,510501,General Fund,Information Technology,Regular Salaries,"-166,204","-140,188","-133,118"
1001,41040,101,510503,General Fund,Information Technology,Overtime,-90,-38,‐
1001,41040,141,510503,General Fund,Information Technology,Overtime,-137,-58,‐
1001,41040,142,510503,General Fund,Information Technology,Overtime,-202,-96,‐
1001,41040,101,510506,General Fund,Information Technology,"Equip Allow (Auto,Phone,Tools)",‐,-833,"-1,011"
1001,41040,101,510519,General Fund,Information Technology,Vacation Time Payout,‐,-375,‐
1001,41040,141,510519,General Fund,Information Technology,Vacation Time Payout,‐,-562,‐
1001,41040,142,510519,General Fund,Information Technology,Vacation Time Payout,‐,-937,‐
1001,41040,101,510999,General Fund,Information Technology,Grant Admin. ‐ Salaries,"7,431","7,539",‐
1001,41040,101,520515,General Fund,Information Technology,Health Insurance Opt Out,-600,‐,‐
1001,41040,101,520520,General Fund,Information Technology,Life Insurance Expense,-162,-199,-281
1001,41040,141,520520,General Fund,Information Technology,Life Insurance Expense,-175,-66,-75
1001,41040,142,520520,General Fund,Information Technology,Life Insurance Expense,-109,-85,-95
1001,41040,101,520521,General Fund,Information Technology,Health Insurance Expense,"-51,790","-76,739","-98,569"
1001,41040,141,520521,General Fund,Information Technology,Health Insurance Expense,"-31,297","-25,158","-26,159"
1001,41040,142,520521,General Fund,Information Technology,Health Insurance Expense,"-39,222","-30,056","-29,761"
1001,41040,101,520522,General Fund,Information Technology,Social Security Expense,"-12,780","-16,691","-19,477"
1001,41040,141,520522,General Fund,Information Technology,Social Security Expense,"-7,598","-6,702","-6,470"
1001,41040,142,520522,General Fund,Information Technology,Social Security Expense,"-9,538","-8,254","-7,698"
1001,41040,101,520523,General Fund,Information Technology,Medicare Expense,"-2,989","-3,904","-4,555"
1001,41040,141,520523,General Fund,Information Technology,Medicare Expense,"-1,788","-1,930","-1,513"
1001,41040,142,520523,General Fund,Information Technology,Medicare Expense,"-2,249","-1,567","-1,817"
1001,41040,101,520527,General Fund,Information Technology,IMRF Contributions,"-31,851","-43,721","-47,704"
1001,41040,141,520527,General Fund,Information Technology,IMRF Contributions,"-18,903","-21,336","-15,653"
1001,41040,142,520527,General Fund,Information Technology,IMRF Contributions,"-23,958","-17,292","-18,863"
1001,41040,101,560651,General Fund,Information Technology,Employees Awards Recognition,‐,‐,-733
1001,41040,101,530650,General Fund,Information Technology,Conferences Training,‐,‐,"-3,962"
1001,41040,141,530650,General Fund,Information Technology,Conferences Training,-337,‐,-11
1001,41040,142,530650,General Fund,Information Technology,Conferences Training,‐,"-1,384","-1,201"
1001,41040,101,530660,General Fund,Information Technology,General Contractuals,‐,‐,‐
1001,41040,101,530667,General Fund,Information Technology,External Support,‐,"-33,275",‐
1001,41040,142,530667,General Fund,Information Technology,External Support,"-2,908",‐,"-76,834"
1001,41040,101,540690,General Fund,Information Technology,Telecommunication Charges,"-8,329","-7,063","-7,786"
1001,41040,101,540698,General Fund,Information Technology,Computer Supplies,"-1,630",‐,-12
1001,41040,141,540698,General Fund,Information Technology,Computer Supplies,‐,-740,‐
1001,41040,142,540698,General Fund,Information Technology,Computer Supplies,"-3,047","-9,208","-10,080"
1001,41040,141,540699,General Fund,Information Technology,Hardware Maintenance,"-14,367","-16,055","-17,349"
1001,41040,101,550601,General Fund,Information Technology,Printing,-41,‐,‐
1001,41040,101,550602,General Fund,Information Technology,Membership Dues,-30,-150,‐
1001,41040,142,550602,General Fund,Information Technology,Membership Dues,-150,‐,-250
1001,41040,101,550603,General Fund,Information Technology,Postage,"-3,129","-1,072",-647
1001,41040,101,550605,General Fund,Information Technology,Travel & Mileage Reimbursement,-38,-14,‐
1001,41040,142,550605,General Fund,Information Technology,Travel & Mileage Reimbursement,-20,‐,‐
1001,41040,101,550606,General Fund,Information Technology,Books & Subscriptions,‐,-123,‐
1001,41040,101,550663,General Fund,Information Technology,Software License Updates,‐,"-131,232",‐
1001,41040,141,550663,General Fund,Information Technology,Software License Updates,"-110,020",‐,"-121,159"
1001,41040,101,550671,General Fund,Information Technology,Office Machine Service,‐,‐,‐
1001,41040,141,550671,General Fund,Information Technology,Office Machine Service,‐,‐,-234
1001,41040,101,550672,General Fund,Information Technology,Telephone Maintenance,"-32,655","-32,655",‐
1001,41040,141,550672,General Fund,Information Technology,Telephone Maintenance,‐,‐,"-1,592"
1001,41040,141,550699,General Fund,Information Technology,Snow Removal,-720,‐,‐
1001,41040,101,560620,General Fund,Information Technology,Office Supplies,-819,‐,"-1,506"
1001,41040,141,560620,General Fund,Information Technology,Office Supplies,‐,"-2,301",‐
1001,41040,142,560620,General Fund,Information Technology,Office Supplies,‐,‐,-294
1001,41040,101,570290,General Fund,Information Technology,WAN Equipment,‐,‐,‐
1001,41040,101,570292,General Fund,Information Technology,Telephone System Equipment,‐,‐,‐
1001,41040,101,570294,General Fund,Information Technology,Printers,‐,‐,‐
1001,41040,101,570720,General Fund,Information Technology,Computer Equipment,‐,‐,‐
1001,42400,101,510501,General Fund,POLICE,Regular Salaries,"-1,543,488","-2,261,836","-2,357,712"
1001,42400,412,510501,General Fund,POLICE,Regular Salaries,"-5,995,333","-5,807,829","-5,811,455"
1001,42400,421,510501,General Fund,POLICE,Regular Salaries,"-3,279,116","-3,347,546","-3,216,853"
1001,42400,101,510503,General Fund,POLICE,Overtime,"-20,649","-27,772","-26,004"
1001,42400,412,510503,General Fund,POLICE,Overtime,"-165,424","-157,810","-236,143"
1001,42400,421,510503,General Fund,POLICE,Overtime,"-128,602","-115,521","-142,094"
1001,42400,101,510508,General Fund,POLICE,CTA Patrol Pay,"-9,209","-18,916","-31,389"
1001,42400,412,510508,General Fund,POLICE,CTA Patrol Pay,"-73,531","-121,348","-120,452"
1001,42400,421,510508,General Fund,POLICE,CTA Patrol Pay,"-60,745","-107,036","-75,879"
1001,42400,101,510509,General Fund,POLICE,Comp Time Payout,‐,"-5,962",‐
1001,42400,412,510509,General Fund,POLICE,Comp Time Payout,‐,"-67,271",‐
1001,42400,421,510509,General Fund,POLICE,Comp Time Payout,‐,"-32,310",‐
1001,42400,101,510514,General Fund,POLICE,Court Time,"-13,411","-20,713","-31,704"
1001,42400,412,510514,General Fund,POLICE,Court Time,"-93,711","-82,143","-53,143"
1001,42400,421,510514,General Fund,POLICE,Court Time,"-46,143","-35,024","-29,307"
1001,42400,101,510999,General Fund,POLICE,Grant Admin. ‐ Salaries,"20,853","22,001","20,053"
1001,42400,421,510999,General Fund,POLICE,Grant Admin. ‐ Salaries,‐,‐,‐
1001,42400,101,510510,General Fund,POLICE,Sick Time Payout,"-1,321","-1,749","-5,423"
1001,42400,412,510510,General Fund,POLICE,Sick Time Payout,"-37,146","-29,360","-43,249"
1001,42400,421,510510,General Fund,POLICE,Sick Time Payout,"-19,980","-23,651","-28,564"
1001,42400,101,510519,General Fund,POLICE,Vacation Time Payout,‐,"-4,389","-8,662"
1001,42400,412,510519,General Fund,POLICE,Vacation Time Payout,"-41,903","-2,004","-33,966"
1001,42400,101,520515,General Fund,POLICE,Health Insurance Opt Out,"-9,781","-14,762","-9,887"
1001,42400,412,520515,General Fund,POLICE,Health Insurance Opt Out,"-7,221","-7,336","-14,114"
1001,42400,421,520515,General Fund,POLICE,Health Insurance Opt Out,"-8,604","-6,319","-6,056"
1001,42400,101,520520,General Fund,POLICE,Life Insurance Expense,"-1,168","-1,446","-1,694"
1001,42400,412,520520,General Fund,POLICE,Life Insurance Expense,"-3,491","-2,883","-3,477"
1001,42400,421,520520,General Fund,POLICE,Life Insurance Expense,"-1,536","-1,536","-1,752"
1001,42400,101,520521,General Fund,POLICE,Health Insurance Expense,"-212,274","-285,318","-349,339"
1001,42400,412,520521,General Fund,POLICE,Health Insurance Expense,"-1,051,369","-1,013,749","-1,125,557"
1001,42400,421,520521,General Fund,POLICE,Health Insurance Expense,"-502,556","-546,397","-607,990"
1001,42400,101,520522,General Fund,POLICE,Social Security Expense,"-35,510","-42,871","-39,721"
1001,42400,412,520522,General Fund,POLICE,Social Security Expense,"-35,499","-32,988","-34,749"
1001,42400,421,520522,General Fund,POLICE,Social Security Expense,"-2,792","-2,903","-2,775"
1001,42400,101,520523,General Fund,POLICE,Medicare Expense,"-17,103","-27,392","-29,054"
1001,42400,412,520523,General Fund,POLICE,Medicare Expense,"-83,598","-83,106","-82,604"
1001,42400,421,520523,General Fund,POLICE,Medicare Expense,"-49,004","-50,201","-47,980"
1001,42400,101,520524,General Fund,POLICE,Police Pension Contributions,"-3,692,190","-3,952,354","-4,121,194"
1001,42400,101,520526,General Fund,POLICE,Dental Insurance Expense,"-1,006","-1,166","-2,901"
1001,42400,412,520526,General Fund,POLICE,Dental Insurance Expense,"-5,122","-4,997","-4,497"
1001,42400,421,520526,General Fund,POLICE,Dental Insurance Expense,"-2,033","-2,832","-3,241"
1001,42400,101,520527,General Fund,POLICE,IMRF Contributions,"-86,794","-110,366","-78,856"
1001,42400,412,520527,General Fund,POLICE,IMRF Contributions,"-88,319","-87,332","-102,638"
1001,42400,421,520527,General Fund,POLICE,IMRF Contributions,"-6,674","-7,338","-6,543"
1001,42400,101,520532,General Fund,POLICE,SLEP Contributions,‐,‐,"-13,464"
1001,42400,101,530642,General Fund,POLICE,Background Check,"-2,513","-2,651",‐
1001,42400,101,530650,General Fund,POLICE,Conferences Training,"-16,676","-16,424","-25,545"
1001,42400,412,530650,General Fund,POLICE,Conferences Training,"-3,920","-13,460","-11,465"
1001,42400,421,530650,General Fund,POLICE,Conferences Training,"-3,812","-3,225","-1,605"
1001,42400,101,530652,General Fund,POLICE,Training Services,-250,-250,‐
1001,42400,101,530657,General Fund,POLICE,Legal Fees,-309,‐,‐
1001,42400,101,530658,General Fund,POLICE,Temporary Services,"-22,015","-2,376",‐
1001,42400,101,530660,General Fund,POLICE,General Contractuals,"-3,250","-12,125","-28,760"
1001,42400,421,530660,General Fund,POLICE,General Contractuals,"-358,471","-363,648","-355,093"
1001,42400,101,530661,General Fund,POLICE,Security Services,"-1,200",‐,‐
1001,42400,101,530667,General Fund,POLICE,External Support,"-3,957","-6,219","-6,771"
1001,42400,421,530667,General Fund,POLICE,External Support,-466,-20,‐
1001,42400,421,530670,General Fund,POLICE,Audit Service Fees,‐,"-6,750",‐
1001,42400,101,530681,General Fund,POLICE,WSCDC Contract,‐,‐,‐
1001,42400,101,540659,General Fund,POLICE,Lease Payments‐ 2‐10 Chicago Ave,‐,‐,‐
1001,42400,101,540674,General Fund,POLICE,Property Repair,‐,"-3,245",‐
1001,42400,101,540690,General Fund,POLICE,Telecommunication Charges,"-1,411","-3,528","-7,643"
1001,42400,412,540690,General Fund,POLICE,Telecommunication Charges,‐,‐,"-2,574"
1001,42400,421,540690,General Fund,POLICE,Telecommunication Charges,‐,-772,‐
1001,42400,101,540698,General Fund,POLICE,Computer Supplies,-40,‐,‐
1001,42400,101,540699,General Fund,POLICE,Hardware Maintenance,"-4,279","-1,585","-6,939"
1001,42400,412,540699,General Fund,POLICE,Hardware Maintenance,-898,‐,‐
1001,42400,101,550694,General Fund,POLICE,Contractual Disposal Costs,-580,"-1,345",‐
1001,42400,412,550694,General Fund,POLICE,Contractual Disposal Costs,"-1,100",‐,‐
1001,42400,101,550697,General Fund,POLICE,Contractual Towing & Plowing,"-1,385","-2,631","-2,615"
1001,42400,101,550601,General Fund,POLICE,Printing,-980,-305,"-5,586"
1001,42400,412,550601,General Fund,POLICE,Printing,-206,-41,-248
1001,42400,421,550601,General Fund,POLICE,Printing,-206,‐,‐
1001,42400,101,550602,General Fund,POLICE,Membership Dues,"-4,584","-4,382","-17,842"
1001,42400,412,550602,General Fund,POLICE,Membership Dues,-50,‐,"-1,800"
1001,42400,421,550602,General Fund,POLICE,Membership Dues,-240,-170,"-5,180"
1001,42400,101,550603,General Fund,POLICE,Postage,"-2,097","-2,139","-1,284"
1001,42400,421,550603,General Fund,POLICE,Postage,‐,-36,-56
1001,42400,101,550605,General Fund,POLICE,Travel & Mileage Reimbursement,-746,-477,‐
1001,42400,412,550605,General Fund,POLICE,Travel & Mileage Reimbursement,-423,-152,‐
1001,42400,421,550605,General Fund,POLICE,Travel & Mileage Reimbursement,"-1,216","-1,700","-2,328"
1001,42400,101,550606,General Fund,POLICE,Books & Subscriptions,"-1,150","-1,040","-4,256"
1001,42400,421,550606,General Fund,POLICE,Books & Subscriptions,‐,-685,-685
1001,42400,101,550652,General Fund,POLICE,Legal Postings and Doc. Fees,‐,‐,‐
1001,42400,101,550656,General Fund,POLICE,Miscellaneous Expense,-110,-547,-736
1001,42400,421,550656,General Fund,POLICE,Miscellaneous Expense,‐,-164,‐
1001,42400,101,550663,General Fund,POLICE,Software License Updates,‐,-449,‐
1001,42400,101,550673,General Fund,POLICE,Repairs,-134,-71,‐
1001,42400,421,550673,General Fund,POLICE,Repairs,‐,-360,‐
1001,42400,101,550689,General Fund,POLICE,Operational Mainten Support,-400,‐,‐
1001,42400,101,550690,General Fund,POLICE,Public Art,‐,-362,‐
1001,42400,101,550705,General Fund,POLICE,Ammunition and Guns,‐,‐,"-9,192"
1001,42400,412,550705,General Fund,POLICE,Ammunition and Guns,-300,‐,"-4,829"
1001,42400,101,560616,General Fund,POLICE,Toner Cartridges,"-5,632","-6,923","-7,734"
1001,42400,101,560620,General Fund,POLICE,Office Supplies,"-5,667","-6,077","-9,132"
1001,42400,101,560625,General Fund,POLICE,Clothing,"-10,500","-24,332","-9,184"
1001,42400,412,560625,General Fund,POLICE,Clothing,"-63,601","-100,839","-76,167"
1001,42400,421,560625,General Fund,POLICE,Clothing,"-21,395","-30,165","-25,693"
1001,42400,101,560628,General Fund,POLICE,Lab Supplies,"-2,226",-880,‐
1001,42400,101,560631,General Fund,POLICE,Operational Supplies,"-34,012","-34,321","-22,015"
1001,42400,412,560631,General Fund,POLICE,Operational Supplies,"-1,704",-462,-133
1001,42400,421,560631,General Fund,POLICE,Operational Supplies,-295,-23,‐
1001,42400,427,560631,General Fund,POLICE,Operational Supplies,-449,‐,‐
1001,42400,101,560637,General Fund,POLICE,Vehicle Equipment Parts,‐,-30,‐
1001,42400,101,560638,General Fund,POLICE,Special Events,-175,‐,-600
1001,42400,427,560638,General Fund,POLICE,Special Events,‐,-235,-160
1001,42400,101,560640,General Fund,POLICE,Resale Merchandise,‐,"-1,325",‐
1001,42400,101,560641,General Fund,POLICE,Marketing Supplies,‐,"-1,282",‐
1001,42400,101,560642,General Fund,POLICE,Basketball Camp Expenses,‐,-962,‐
1001,42400,101,560651,General Fund,POLICE,Employees Awards Recognition,‐,-300,-36
1001,42400,412,560651,General Fund,POLICE,Employees Awards Recognition,‐,‐,-218
1001,42400,421,560651,General Fund,POLICE,Employees Awards Recognition,‐,‐,-73
1001,42400,101,560655,General Fund,POLICE,Reimbursements,-285,"-1,812",-864
1001,42400,421,560655,General Fund,POLICE,Reimbursements,-47,-33,‐
1001,42400,101,560670,General Fund,POLICE,Equipment Rental,"-12,047","-4,723",332
1001,42400,101,570710,General Fund,POLICE,Equipment,"-1,312","-7,645",-580
1001,42400,101,570711,General Fund,POLICE,Software,-204,-268,‐
1001,42400,101,570720,General Fund,POLICE,Computer Equipment,-240,"-7,398","-3,909"
1001,42400,101,570725,General Fund,POLICE,Office Equipment,"-1,012",‐,-70
1001,42400,101,570662,General Fund,POLICE,Police Equipment,‐,‐,‐
1001,43700,101,510501,General Fund,DPW ‐ Engineering,Regular Salaries,"-72,499","-205,996","-337,232"
1001,43700,722,510501,General Fund,DPW ‐ Engineering,Regular Salaries,"-28,303","-23,286","-18,831"
1001,43700,723,510501,General Fund,DPW ‐ Engineering,Regular Salaries,"-54,628","-57,434","-53,313"
1001,43700,777,510501,General Fund,DPW ‐ Engineering,Regular Salaries,"-118,798","-109,405","-129,376"
1001,43700,101,510503,General Fund,DPW ‐ Engineering,Overtime,‐,‐,-492
1001,43700,777,510503,General Fund,DPW ‐ Engineering,Overtime,"-5,270",-129,-201
1001,43700,101,510518,General Fund,DPW ‐ Engineering,Seasonal Employees,‐,‐,‐
1001,43700,101,510519,General Fund,DPW ‐ Engineering,Vacation Time Payout,‐,"-2,944",‐
1001,43700,722,510519,General Fund,DPW ‐ Engineering,Vacation Time Payout,‐,"-1,472",‐
1001,43700,723,510519,General Fund,DPW ‐ Engineering,Vacation Time Payout,‐,"-1,472",‐
1001,43700,101,520515,General Fund,DPW ‐ Engineering,Health Insurance Opt Out,‐,-955,-45
1001,43700,101,520520,General Fund,DPW ‐ Engineering,Life Insurance Expense,-36,-140,-257
1001,43700,722,520520,General Fund,DPW ‐ Engineering,Life Insurance Expense,-15,-14,-13
1001,43700,723,520520,General Fund,DPW ‐ Engineering,Life Insurance Expense,-16,-37,-40
1001,43700,777,520520,General Fund,DPW ‐ Engineering,Life Insurance Expense,-69,-50,-61
1001,43700,101,520521,General Fund,DPW ‐ Engineering,Health Insurance Expense,"-16,057","-33,916","-64,845"
1001,43700,722,520521,General Fund,DPW ‐ Engineering,Health Insurance Expense,"-3,099","-2,151","-1,743"
1001,43700,723,520521,General Fund,DPW ‐ Engineering,Health Insurance Expense,"-3,099","-2,151","-4,277"
1001,43700,777,520521,General Fund,DPW ‐ Engineering,Health Insurance Expense,"-20,666","-18,669","-21,173"
1001,43700,101,520522,General Fund,DPW ‐ Engineering,Social Security Expense,"-4,277","-12,437","-19,890"
1001,43700,722,520522,General Fund,DPW ‐ Engineering,Social Security Expense,"-1,666","-1,456","-1,103"
1001,43700,723,520522,General Fund,DPW ‐ Engineering,Social Security Expense,"-3,233","-3,468","-3,118"
1001,43700,777,520522,General Fund,DPW ‐ Engineering,Social Security Expense,"-7,347","-6,428","-7,678"
1001,43700,101,520523,General Fund,DPW ‐ Engineering,Medicare Expense,"-1,000","-2,909","-4,652"
1001,43700,722,520523,General Fund,DPW ‐ Engineering,Medicare Expense,-390,-341,-258
1001,43700,723,520523,General Fund,DPW ‐ Engineering,Medicare Expense,-756,-811,-729
1001,43700,777,520523,General Fund,DPW ‐ Engineering,Medicare Expense,"-1,718","-1,503","-1,796"
1001,43700,101,520527,General Fund,DPW ‐ Engineering,IMRF Contributions,"-10,364","-31,792","-47,334"
1001,43700,722,520527,General Fund,DPW ‐ Engineering,IMRF Contributions,"-4,087","-3,764","-2,668"
1001,43700,723,520527,General Fund,DPW ‐ Engineering,IMRF Contributions,"-7,888","-8,949","-7,555"
1001,43700,777,520527,General Fund,DPW ‐ Engineering,IMRF Contributions,"-17,915","-16,608","-18,361"
1001,43700,101,530650,General Fund,DPW ‐ Engineering,Conferences Training,-638,‐,‐
1001,43700,723,530650,General Fund,DPW ‐ Engineering,Conferences Training,"-1,132",-313,-965
1001,43700,101,530667,General Fund,DPW ‐ Engineering,External Support,‐,"-30,026","-30,360"
1001,43700,723,530667,General Fund,DPW ‐ Engineering,External Support,"-7,080","-5,470","-13,453"
1001,43700,101,550601,General Fund,DPW ‐ Engineering,Printing,-41,-41,‐
1001,43700,722,550601,General Fund,DPW ‐ Engineering,Printing,‐,‐,‐
1001,43700,101,550602,General Fund,DPW ‐ Engineering,Membership Dues,-220,‐,‐
1001,43700,723,550602,General Fund,DPW ‐ Engineering,Membership Dues,"-1,031",-592,-600
1001,43700,101,550603,General Fund,DPW ‐ Engineering,Postage,"-3,035","-2,503","-5,064"
1001,43700,721,550603,General Fund,DPW ‐ Engineering,Postage,-56,‐,-219
1001,43700,722,550603,General Fund,DPW ‐ Engineering,Postage,‐,-357,-248
1001,43700,723,550603,General Fund,DPW ‐ Engineering,Postage,‐,‐,-1
1001,43700,101,550605,General Fund,DPW ‐ Engineering,Travel & Mileage Reimbursement,‐,‐,-25
1001,43700,723,550606,General Fund,DPW ‐ Engineering,Books & Subscriptions,‐,‐,-57
1001,43700,723,550663,General Fund,DPW ‐ Engineering,Software License Updates,"-3,000","-3,000","-10,000"
1001,43700,101,550671,General Fund,DPW ‐ Engineering,Office Machine Service,‐,40,‐
1001,43700,722,550671,General Fund,DPW ‐ Engineering,Office Machine Service,‐,-74,‐
1001,43700,101,560620,General Fund,DPW ‐ Engineering,Office Supplies,‐,-533,-383
1001,43700,722,560620,General Fund,DPW ‐ Engineering,Office Supplies,‐,-360,-450
1001,43700,723,560620,General Fund,DPW ‐ Engineering,Office Supplies,‐,‐,‐
1001,43700,101,560631,General Fund,DPW ‐ Engineering,Operational Supplies,‐,‐,‐
1001,43700,101,560730,General Fund,DPW ‐ Engineering,Reference Material,‐,‐,‐
1001,43700,722,560631,General Fund,DPW ‐ Engineering,Operational Supplies,-245,‐,‐
